Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"2-Bedroom Unit (29O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","33,499,000",2,2,104,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-29o-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (29L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","11,761,000",1,1,39,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-29l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (39L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,229,000",1,1,40,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-39l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3916) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,274,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3916-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3416) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,076,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3416-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (4016) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,274,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-4016-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3316) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,076,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3316-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1015) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,601,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1015-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2818) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,076,000",1,1,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2818-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2122) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,322,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2122-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2722) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,532,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2722-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3210) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,042,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3210-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3616) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,205,000",1,1,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3616-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3520) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,742,000",1,1,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3520-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (926) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,982,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-926-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1821) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,560,000",1,1,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1821-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1714) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,562,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1714-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (914) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,352,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-914-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2803) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,420,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2803-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2807) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,283,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2807-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1418) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,297,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1418-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2215) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,560,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2215-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1726) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,252,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1726-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1705) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,702,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1705-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3406) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,283,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3406-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2903) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,351,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2903-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1521) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,297,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1521-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2815) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,076,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2815-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1518) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,297,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1518-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3214) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,076,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3214-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2718) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,695,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2718-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Lyca Model","Cabuco, Trece Martires","1,918,427",2,na,38,36,14.2737173,120.8443843,https://www.lamudi.com.ph/2-bedroom-townhouse-for-sale-at-hana-south-in-trece-martires-cavite-lyca-model.html
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ezabell...","Cupang Proper, Balanga","3,071,000",2,na,46,63,14.666375,120.54822,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-ezabelle.html
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Bella","Cupang Proper, Balanga","4,382,000",2,na,53,88,14.666375,120.54822,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-bella.html
"1-Bedroom Unit (58F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","26,856,000",1,1,76,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-58f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (N64I) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","22,595,200",2,2,87,na,14.583771,121.059675,https://www.lamudi.com.ph/2-bedroom-unit-n64i-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | B...","Isabang, Tayabas","4,328,000",2,na,66,88,13.962775,121.564527,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-bella-nrfo.html
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Greta, NR...","Buli, Taal","9,753,000",5,na,166,156,13.885835,120.955093,https://www.lamudi.com.ph/5-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-greta-nrfo.html
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, RFO","Buli, Taal","5,390,000",3,na,66,88,13.885835,120.955093,https://www.lamudi.com.ph/3-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-cara-rfo.html
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ella, NRF...","Buli, Taal","6,814,000",5,na,100,110,13.885835,120.955093,https://www.lamudi.com.ph/5-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-ella-nrfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, RF...","Buli, Taal","5,132,000",2,na,53,99,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-bella-rfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle E...","Buli, Taal","2,673,000",2,na,36,66,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-arielle-eu-nrfo.html
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Frielle, NRFO","Longos, Malolos","3,440,000",2,na,50,63,14.8743986,120.7973062,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-provence-in-malolos-city-bulacan-frielle-nrfo.html
"1-Bedroom Unit (1621) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,364,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1621-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3306) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,283,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3306-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1618) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,364,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1618-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom Unit (3112) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,471,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3112-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2307) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,830,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2307-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1814) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,762,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1814-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3606) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,411,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3606-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1826) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,392,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1826-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2022) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,322,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2022-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2015) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,492,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2015-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom Unit (3311) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,579,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3311-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3122) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,602,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3122-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1423) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,402,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1423-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom Unit (4111) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","28,695,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-4111-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (31F) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","26,849,000",1,1,74,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-31f-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"1-Bedroom Unit (30G) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","26,840,000",1,1,74,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-30g-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"Studio (3717) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","8,830,000",1,na,35,na,14.588882,121.079016,https://www.lamudi.com.ph/studio-3717-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio (3617) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","8,830,000",1,na,35,na,14.588882,121.079016,https://www.lamudi.com.ph/studio-3617-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3810) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,382,000",1,1,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3810-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Deluxe (31E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,546,000",1,1,45,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-31e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (8A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,828,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-8a-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Deluxe (30E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,527,000",1,1,45,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-30e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1023) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,332,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1023-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (19A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,946,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-19a-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3018) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,007,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3018-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (38D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","27,046,000",1,1,70,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-38d-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"2-Bedroom Unit (3211) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,579,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3211-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (35M) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,805,000",1,1,70,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-35m-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1921) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,492,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1921-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (25P) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,868,000",1,1,67,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-25p-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (29D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","20,712,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-29d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (36P) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,561,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-36p-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (28L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","11,853,000",1,1,39,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-28l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (49N) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,364,000",1,1,41,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-49n-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Deluxe (30E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,527,000",1,1,45,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-30e-for-sale-in-empress-at-capitol-commons-pasig-city.html
